event,white,black,result,whiteelo,blackelo,whiteratingdiff,blackratingdiff,opening
Rated Classical game,fefetafari,Omid_Gharahi,1-0,1484,1552,13.0,-14.0,Italian Game
Rated Classical game,praetorian188,miladz,1-0,1373,1490,14.0,-19.0,Van't Kruijs Opening
Rated Classical game,E02,FernLover,1-0,1455,1585,16.0,-14.0,Ruy Lopez
Rated Classical game,karu1511,varun1805,1-0,1665,1530,7.0,-16.0,Dutch Defense
Rated Classical game,tgrclb,Boxerman,1-0,1314,1318,12.0,-23.0,Dutch Defense
Rated Classical game,tongyunyong,salemfennir,1-0,1312,1244,9.0,-9.0,French Defense
Rated Classical game,Yeyo817,Roggeri,0-1,1078,1065,-11.0,11.0,King's Pawn Game
Rated Classical game,Bad1234,ystalio,1-0,1200,1063,35.0,-8.0,King's Pawn Game
Rated Classical game,omarhay,bomb566,0-1,1369,1448,-8.0,8.0,Robatsch (Modern) Defense
Rated Classical game,Assia,basher74,1-0,1108,1226,19.0,-35.0,Philidor Defense
Rated Classical game,DavidCallejon,juanysantos,1-0,1164,1218,22.0,-12.0,French Defense
Rated Classical game,vtrachys,nikos_mark20,1-0,1618,1702,13.0,-13.0,Queen's Pawn Game
Rated Classical game,amgadhashish,wojand,0-1,1558,1575,-11.0,11.0,English Opening
Rated Classical game,NilsM,martinmg,1-0,1401,1293,14.0,-8.0,Elephant Gambit
Rated Classical game,RobertB1998,doandres,1-0,1757,1647,7.0,-8.0,French Defense
Rated Classical game,morrteza1369,LightKraft123,0-1,1533,1425,-15.0,42.0,Sicilian Defense
Rated Classical game,ivan1703,felixrbran,1-0,1667,1619,9.0,-9.0,Van't Kruijs Opening
